0,423,0,0,14,16
1,688,1,0,21,23
2,934,0,0,26,28
3,970,0,0,41,43
4,95,1,0,76,77
5,728,1,0,79,81
6,896,1,0,92,94
7,113,0,0,98,100
8,153,1,0,119,121
9,972,0,0,124,126
10,122,1,1,3,5
11,919,0,1,57,59
12,509,1,1,62,64
13,259,1,2,15,17
14,698,1,2,22,24
15,373,1,2,27,29
16,992,1,2,31,33
17,52,0,2,35,36
18,674,1,2,38,40
19,781,1,2,66,68
20,22,0,2,72,73
21,130,0,2,82,84
22,584,1,2,86,88
23,399,1,2,99,101
24,777,1,2,109,111
25,266,1,2,129,131
26,148,1,3,6,8
27,357,1,3,47,49
28,123,1,3,51,53
29,812,0,3,77,79
30,756,1,3,90,92
31,143,1,3,94,96
32,691,1,4,2,4
33,700,1,4,11,13
34,708,1,4,16,18
35,357,1,4,39,41
36,177,1,4,60,62
37,244,1,4,72,74
38,762,1,4,104,106
39,453,1,4,108,110
40,477,1,4,115,117
41,707,1,4,120,122
42,168,1,4,126,128
43,359,1,4,131,133
44,394,0,5,23,25
45,443,1,5,27,29
46,456,1,5,34,36
47,750,0,5,43,45
48,71,1,5,64,65
49,160,1,5,67,69
50,183,1,5,78,80
51,835,1,5,90,92
52,74,0,5,95,96
53,129,1,5,135,137
54,578,1,6,4,6
55,362,1,6,53,55
56,1,0,6,58,58
57,661,1,6,73,75
58,730,1,6,98,100
59,744,1,6,107,109
60,294,1,6,112,114
61,247,1,6,125,127
62,415,1,7,14,16
63,306,1,7,20,22
64,452,0,7,32,34
65,375,1,7,65,67
66,76,1,7,81,82
67,186,1,7,87,89
68,441,0,7,135,137
69,152,1,8,6,8
70,75,1,8,24,25
71,757,1,8,27,29
72,204,1,8,37,39
73,605,1,8,59,61
74,77,1,8,91,92
75,405,1,8,101,103
76,957,1,8,111,113
77,324,1,8,116,118
78,404,1,8,130,132
79,545,1,9,2,4
80,618,0,9,69,71
81,599,1,9,82,84
82,43,1,9,121,122
83,902,1,10,14,16
84,145,1,10,20,22
85,170,0,10,35,37
86,568,0,10,52,54
87,741,1,10,57,59
88,285,1,10,61,63
89,592,1,10,65,67
90,54,1,10,78,79
91,923,0,10,97,99
92,522,1,10,106,108
93,128,0,10,129,131
94,602,1,10,136,138
95,697,1,11,7,9
96,16,1,11,11,12
97,322,1,11,30,32
98,339,1,11,71,73
99,633,0,11,84,86
100,56,1,11,88,89
101,792,1,11,117,119
102,751,1,11,122,124
103,752,1,12,36,38
104,826,1,12,41,43
105,104,1,12,55,57
106,861,1,12,60,62
107,144,1,12,101,103
108,883,1,12,109,111
109,778,1,12,130,132
110,892,1,12,134,136
111,968,1,13,6,8
112,690,0,13,11,13
113,769,1,13,27,29
114,718,1,13,32,34
115,326,1,13,48,50
116,493,1,13,76,78
117,123,1,13,81,83
118,362,1,13,94,96
119,757,1,13,118,120
120,570,1,13,125,127
121,681,0,14,2,4
122,242,1,14,22,24
123,806,1,14,37,39
124,509,1,14,56,58
125,307,1,14,62,64
126,350,1,14,85,87
127,942,1,14,90,92
128,614,1,14,99,101
129,511,1,14,106,108
130,151,1,14,135,137
131,256,0,15,18,20
132,235,1,15,44,46
133,923,0,15,52,54
134,28,1,15,70,71
135,264,1,15,74,76
136,316,1,15,95,97
137,945,0,15,112,114
138,522,1,15,119,121
139,823,1,15,131,133
140,961,1,16,5,7
141,136,1,16,9,11
142,567,1,16,13,15
143,944,0,16,36,38
144,500,1,16,57,59
145,504,1,16,86,88
146,765,1,16,105,107
147,563,1,16,127,129
148,837,0,17,18,20
149,823,0,17,23,25
150,480,1,17,32,34
151,627,0,17,40,42
152,984,1,17,47,49
153,136,1,17,61,63
154,969,1,17,68,70
155,289,1,17,82,84
156,757,1,17,92,94
157,107,1,17,123,125
158,593,1,17,134,136
159,74,0,18,1,2
160,924,1,18,4,6
161,110,1,18,28,30
162,511,1,18,51,53
163,564,1,18,75,77
164,389,1,18,100,102
165,989,1,18,109,111
166,305,1,18,113,115
167,110,1,19,14,16
168,735,1,19,19,21
169,647,1,19,32,34
170,658,1,19,39,41
171,509,1,19,43,45
172,378,1,19,47,49
173,999,1,19,61,63
174,225,1,19,82,84
175,937,1,19,89,91
176,147,1,19,105,107
177,778,1,19,117,119
178,868,1,19,123,125
179,871,1,19,131,133
180,611,1,19,136,138
181,3,0,20,27,27
182,608,0,20,68,70
183,842,1,20,73,75
184,589,1,20,98,100
185,842,1,20,113,115
186,963,1,21,8,10
187,634,1,21,16,18
188,569,1,21,40,42
189,177,1,21,58,60
190,774,1,21,88,90
191,132,1,21,103,105
192,153,1,21,107,109
193,13,1,21,134,135
194,723,1,22,3,5
195,324,1,22,26,28
196,455,1,22,35,37
197,417,1,22,46,48
198,849,1,22,53,55
199,372,1,22,69,71
200,747,1,22,74,76
201,87,1,22,78,79
202,358,1,22,94,96
203,35,1,22,100,101
204,974,1,22,112,114
205,453,0,22,117,119
206,811,1,22,123,125
207,990,1,22,129,131
208,174,1,23,21,23
209,949,1,23,40,42
210,182,1,23,58,60
211,684,1,23,65,67
212,414,1,23,81,83
213,201,1,23,103,105
214,62,0,24,32,33
215,669,1,24,48,50
216,487,1,24,72,74
217,943,1,24,98,100
218,740,1,24,110,112
219,10,1,24,117,118
220,298,1,24,126,128
221,384,1,24,133,135
222,446,1,25,4,6
223,711,1,25,8,10
224,20,1,25,20,21
225,674,0,25,23,25
226,343,1,25,37,39
227,806,1,25,42,44
228,574,1,25,68,70
229,965,1,25,81,83
230,776,1,25,105,107
231,867,1,25,121,123
232,705,1,26,27,29
233,804,1,26,31,33
234,374,1,26,63,65
235,307,1,26,72,74
236,683,1,26,95,97
237,830,1,26,101,103
238,625,1,26,112,114
239,530,1,26,117,119
240,837,1,26,125,127
241,272,1,26,131,133
242,791,1,27,7,9
243,108,0,27,56,58
244,533,1,27,86,88
245,966,1,27,107,109
246,515,1,27,135,137
247,412,1,28,12,14
248,764,1,28,37,39
249,658,1,28,60,62
250,292,1,28,65,67
251,635,0,28,69,71
252,674,1,28,73,75
253,337,0,28,78,80
254,98,1,28,98,99
255,814,1,28,102,104
256,263,1,28,111,113
257,720,1,28,121,123
258,469,1,29,18,20
259,162,1,29,23,25
260,23,1,29,31,32
261,64,1,29,56,57
262,552,1,29,107,109
263,990,1,29,125,127
264,942,0,29,134,136
265,790,0,30,0,2
266,536,0,30,4,6
267,365,1,30,14,16
268,587,1,30,27,29
269,313,1,30,59,61
270,512,1,30,67,69
271,983,1,30,74,76
272,953,0,30,81,83
273,348,1,30,91,93
